,Time[s],Time[yr],keff,std,MWD/MTU,burnup [%]
0,0,0,1.060056384,0.000141176,0,0
1,864,2.74E-05,1.059727924,0.00014431,0.149715254,1.00E-04
2,86400,0.002739726,1.055964446,0.000140011,14.97152545,0.009997995
3,345600,0.010958904,1.0540277,0.000140823,59.88610178,0.040016899
4,864000,0.02739726,1.053164679,0.000139779,149.7152545,0.100064822
5,2592000,0.082191781,1.051482069,0.000132105,449.1457634,0.299802877
6,8640000,0.273972603,1.046283122,0.000146435,1497.152545,0.995767264
7,17280000,0.547945205,1.040717071,0.000138552,2994.305089,1.98133135
8,31536000,1,1.033216425,0.00014283,5464.606788,3.588270881
9,63072000,2,1.01703417,0.000138907,10929.21358,7.058691263
10,94608000,3,1.000728715,0.000134203,16393.82036,10.42786036
11,126144000,4,0.983923438,0.000128497,21858.42715,13.70592709
